author,date,description,source,title,url
Christian Edwards,2023-07-04T19:35:13Z,"After a police officer in France shot dead unarmed 17-year-old Nahel Merzouk during a traffic stop in Paris last week, two fundraisers were set up. One, to support the teen’s mother. The other, for the family of the police officer who shot him.",CNN,France: Fund for killer cop dwarfs that of family of victim | CNN,https://edition.cnn.com/2023/07/04/europe/france-fundraiser-nahel-protests-intl/index.html
Hafsa Khalil,2023-07-05T14:05:42Z,Scotland has concluded a day of festivities celebrating British monarch King Charles III’s recent coronation.,CNN,King Charles III and Queen Camilla's coronation marked in Scotland with day of pageantry | CNN,https://edition.cnn.com/2023/07/05/europe/scotland-marks-coronation-charles-royals-gbr-intl/index.html
"By <a href=""/profiles/tara-subramaniam"">Tara Subramaniam</a>, Sana Noor Haq, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a>, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, Mike Hayes, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a>, <a href=""/profiles/tori-powell"">Tori B. Powell</a> and <a href=""/profiles/elise-hammond"">Elise Hammond</a>, CNN",2023-07-05T04:00:16Z,"The United States ""fully supports"" Sweden's membership in NATO, President Joe Biden said Wednesday ahead of next week's alliance summit. Both Sweden and Finland applied to join the alliance following Russia's invasion of Ukraine — but Turkey has to date blocked Sweden's admission.",CNN,"July 5, 2023 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-05-23/index.html
Helen Regan,2023-07-06T06:43:54Z,"The 2023 World Beach Games, scheduled to take place in Bali next month, have been canceled after hosts Indonesia suddenly withdrew from the tournament.",CNN,"World Beach Games 2023 canceled after Indonesia pulls out of hosting, ANOC says | CNN",https://edition.cnn.com/2023/07/06/sport/bali-world-beach-games-indonesia-canceled-intl-hnk-spt/index.html
"Alex Hardie,Li-Lian Ahlskog Hou,Laura Paddison",2023-07-06T13:15:25Z,Sweden’s Prosecution Authority has charged climate activist Greta Thunberg with disobeying law enforcement after she allegedly refused to leave the scene of a climate protest in Malmö in June,CNN,Greta Thunberg charged with disobeying police orders during a protest in Sweden | CNN,https://edition.cnn.com/2023/07/06/europe/greta-thunberg-charged-sweden-climate-intl/index.html
"Erin Burnett,Yon Pomrenze,Mick Krever,Victoria Butenko",2023-07-05T23:00:20Z,"Ukraine’s counteroffensive has been “slowed down” by entrenched Russian defenses, President Volodymyr Zelensky told CNN in an exclusive interview broadcast on Wednesday, adding that he wished that Western weapons deliveries had allowed it to begin “much earlier.”",CNN,Exclusive: Zelensky says he wanted counteroffensive to start 'much earlier' to pre-empt Russian defenses | CNN,https://edition.cnn.com/2023/07/05/europe/zelensky-counteroffensive-ukraine-erin-burnett-interview-2-intl-cmd/index.html
Christian Edwards,2023-07-05T16:52:32Z,"Russian troops have placed “objects resembling explosives” on roofs at the Zaporizhzhia nuclear power plant (ZNPP), Ukrainian President Volodymyr Zelensky said in a video address Tuesday that instantly sparked concerns around the world.",CNN,Zaporizhzhia: Ukraine warns Russia might blow up nuclear power plant. How worried should we be? | CNN,https://edition.cnn.com/2023/07/05/europe/zaporizhzhia-nuclear-disaster-threat-explainer-intl/index.html
"Matthew Chance,Katharina Krebs,Mick Krever",2023-07-06T09:11:30Z,"Wagner boss Yevgeny Prigozhin is not in Belarus and it is unclear if his fighters will move to the country, Belarusian President Alexander Lukashenko told CNN Thursday, raising new questions about the purported deal that ended Wagner’s armed rebellion last month.",CNN,"Wagner boss Prigozhin now in Russia, says Belarus president, muddying the waters over purported deal to end mutiny | CNN",https://edition.cnn.com/2023/07/06/europe/wagner-chief-prigozhin-russia-intl/index.html
"Sarah El Sirgany,Ben Wedeman,Kostyantin Gak",2023-07-06T04:07:40Z,"For three days, shells and mortars were “flying and whistling overhead, exploding around us,” Anton, a Russian soldier positioned south of Bakhmut, tells CNN. “We were jumping like rabbits under mortar rounds and bombs.”",CNN,"Captured Russian soldiers tell of low morale, disarray and horrors of trench warfare | CNN",https://edition.cnn.com/2023/07/06/europe/captured-russian-soldiers-ukraine-intl-cmd/index.html
"By <a href=""/profiles/tara-subramaniam"">Tara Subramaniam</a>, <a href=""/profiles/rob-picheta"">Rob Picheta</a>, <a href=""/profiles/ivana-kottasova"">Ivana Kottasová</a>, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a>, <a href=""/profiles/matt-meyer"">Matt Meyer</a>, <a href=""/profiles/elise-hammond"">Elise Hammond</a>, <a href=""/profiles/tori-powell"">Tori B. Powell</a> and <a href=""/profiles/amir-vera"">Amir Vera</a>, CNN",2023-07-06T04:00:16Z,"Belarusian President Alexander Lukashenko told CNN Yevgeny Prigozhin, the leader of Russia's Wagner paramilitary group, is in the Russian city of St. Petersburg — not Belarus as originally agreed. ",CNN,"July 6, 2023 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-06-23/index.html
